Line,type,bus0,bus1,length,v_nom,s_nom,x,r,g,b,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,build_year,lifetime,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
SHA_JCT_GOW_DSS,520,CowichanValley,Capital,30.0,138,124.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSH_JCT_GOW_DSS,520,CowichanValley,Capital,40.36,138,124.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHA_JCT_GTP_DSS,725,CowichanValley,Capital,40.92,138,173.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARN_DSS_GLS_JCT,375,GreaterVancouver,Capital,38.17,138,90.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAL_JCT_VIT_TSS,375,Capital,CowichanValley,15.0,138,90.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFR_JCT_BOX_JCT,260,Squamish-Lillooet,SunshineCoast,15.0,138,62.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIT_JCT_SAY_DSS,504,SunshineCoast,PowellRiver,24.6,138,120.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMR_DSS_BKB_JCT_1,625,Nanaimo,Comox-Strathcona,20.0,138,149.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMR_DSS_PAL_DSS_1,625,Nanaimo,Alberni-Clayoquot,20.845,138,149.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMR_DSS_PUN_DFS,625,Nanaimo,Comox-Strathcona,42.891,138,149.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWN_JCT_PVO_DSS,520,Nanaimo,CowichanValley,30.0,138,124.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMR_DSS_PAL_DSS_2,625,Nanaimo,Alberni-Clayoquot,20.806,138,149.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMR_DSS_BKB_JCT_2,635,Nanaimo,Comox-Strathcona,20.0,138,152.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HWW_DSS_LDY_JCT,520,Nanaimo,CowichanValley,19.0,138,124.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHY_JCT_LDY_JCT,591,Nanaimo,CowichanValley,8.0,138,141.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLD_DSS_WOS_JCT,540,Comox-Strathcona,MountWaddington,69.94,138,129.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MON_DSS_LU2_JCT_1,411,CentralKootenay,NorthOkanagan,85.0,138,98.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MON_DSS_LU2_JCT_2,411,CentralKootenay,NorthOkanagan,85.0,138,98.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHS_JCT_STO_JCT,472,Thompson-Nicola,Columbia-Shuswap,18.89,138,113.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT_TSS_VVW_DSS,395,NorthOkanagan,Thompson-Nicola,111.569,138,94.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAM_DSS_END_JCT,571,Columbia-Shuswap,NorthOkanagan,20.0,138,136.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPL_JCT_ABA_JCT,1076,Thompson-Nicola,Fraser-FortGeorge,25.42,138,257.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSW_JCT_BDM_JCT,710,Thompson-Nicola,CentralOkanagan,13.23,138,170.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIC_DSS_PRI_JCT,490,Thompson-Nicola,Okanagan-Similkameen,89.424,138,117.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCK_JCT_BCAB3_IPT,265,EastKootenay,138_BCAB3_IPT,50.0,138,63.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTL_DSS_BCAB1_IPT,414,EastKootenay,138_BCAB1_IPT,18.586,138,99.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FNC_JCT_BCAB4_IPT,770,NorthernRockies,138_BCAB4_IPT,21.87,138,184.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRS_DSS_HZN_DSS,485,Bulkley-Nechako,Kitimat-Stikine,72.319,138,116.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKY_DSS_LYN_DSS,980,Squamish-Lillooet,GreaterVancouver,60.366,230,390.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKY_DSS_CYP_DSS,899,Squamish-Lillooet,GreaterVancouver,60.304,230,358.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSA_DSS_SAY_DSS,848,SunshineCoast,PowellRiver,28.47,230,338.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLN_DSS_MLE_DSS,1700,GreaterVancouver,FraserValley,27.562,230,677.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLY_DSS_HMH_DSS,899,Thompson-Nicola,Cariboo,84.46,230,358.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRT_TSS_KLY_DSS_1,510,Squamish-Lillooet,Thompson-Nicola,77.004,230,203.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRT_TSS_KLY_DSS_2,510,Squamish-Lillooet,Thompson-Nicola,75.716,230,203.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLY_DSS_SCK_DSS,527,Thompson-Nicola,Cariboo,152.4,230,210.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLW_DSS_WSN_DSS,770,Cariboo,Fraser-FortGeorge,95.324,230,307.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKA_DSS_RUP_DSS,640,Kitimat-Stikine,Skeena-QueenCharlotte,125.474,287,318.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLY_DSS_BCUS2_INT_1,1055,CentralKootenay,230_BCUS2_INT,0.865,230,422.2222,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT_DSS_HWW_JCT_1,1636,CowichanValley,Nanaimo,45.0,230,652.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT_DSS_PIK_DSS_1,1637,CowichanValley,Capital,54.109,230,652.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT_DSS_HWW_JCT_2,1637,CowichanValley,Nanaimo,45.0,230,652.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARN_DSS_VIT_TSS,1619,GreaterVancouver,CowichanValley,67.236,230,645.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMR_DSS_GLD_DSS,972,Nanaimo,Comox-Strathcona,148.86,230,387.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT_DSS_PIK_DSS_2,1637,CowichanValley,Capital,54.837,230,652.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACK_DSS_SAM_DSS,1045,NorthOkanagan,Columbia-Shuswap,37.586,230,416.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INV_DSS_KHS_DSS,1070,EastKootenay,Columbia-Shuswap,111.677,230,426.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEL_TSS_NLY_DSS,1053,KootenayBoundary,CentralKootenay,16.157,230,419.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAL_DSS_CBK_DSS,1053,CentralKootenay,EastKootenay,86.71,230,419.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCL_GSS_SEL_TSS_1,997,CentralKootenay,KootenayBoundary,45.854,230,397.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCL_GSS_SEL_TSS_2,997,CentralKootenay,KootenayBoundary,45.854,230,397.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDS_DSS_MML_DSS,1055,Fraser-FortGeorge,Bulkley-Nechako,90.0,230,446.6667,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDS_DSS_KMI_DSS,729,Fraser-FortGeorge,PeaceRiver,0.648,230,290.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRT_TSS_SAC_DSS,960,Squamish-Lillooet,FraserValley,115.0,360,599.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMS_GSS_WSN_DSS_1,2150,PeaceRiver,Fraser-FortGeorge,277.786,500,1862.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMS_GSS_WSN_DSS_2,2150,PeaceRiver,Fraser-FortGeorge,277.642,500,1862.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCN_GSS_KDS_DSS,2150,PeaceRiver,Fraser-FortGeorge,138.414,500,1862.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
